House_number,Date,Energy Demand
MAC000002,12-10-2012,7.098
MAC000002,13-10-2012,11.087
MAC000002,14-10-2012,13.223
MAC000002,15-10-2012,10.257
MAC000002,16-10-2012,9.769
MAC000002,17-10-2012,10.885
MAC000002,18-10-2012,10.751
MAC000002,19-10-2012,8.431
MAC000002,20-10-2012,17.578
MAC000002,21-10-2012,24.49
MAC000002,22-10-2012,18.885
MAC000002,23-10-2012,10.485
MAC000002,24-10-2012,15.537
MAC000002,25-10-2012,13.128
MAC000002,26-10-2012,15.065
MAC000002,27-10-2012,16.886
MAC000002,28-10-2012,19.629
MAC000002,29-10-2012,12.779
MAC000002,30-10-2012,13.961
MAC000002,31-10-2012,17.822
MAC000002,01-11-2012,12.209
MAC000002,02-11-2012,14.554
MAC000002,03-11-2012,14.347
MAC000002,04-11-2012,14.507
MAC000002,05-11-2012,15.095
MAC000002,06-11-2012,11.663
MAC000002,07-11-2012,13.137
MAC000002,08-11-2012,0.186
MAC000002,09-11-2012,16.722
MAC000002,10-11-2012,13.245
MAC000002,11-11-2012,10.699
MAC000002,12-11-2012,12.321
MAC000002,13-11-2012,10.264
MAC000002,14-11-2012,10.82
MAC000002,15-11-2012,9.808
MAC000002,16-11-2012,13.116
MAC000002,17-11-2012,9.77
MAC000002,18-11-2012,13.779
MAC000002,19-11-2012,10.147
MAC000002,20-11-2012,11.479
MAC000002,21-11-2012,10.637
MAC000002,22-11-2012,9.44
MAC000002,23-11-2012,10.051
MAC000002,24-11-2012,11.023
MAC000002,25-11-2012,10.545
MAC000002,26-11-2012,9.876
MAC000002,27-11-2012,10.978
MAC000002,28-11-2012,10.743
MAC000002,29-11-2012,10.771
MAC000002,30-11-2012,13.088
MAC000002,01-12-2012,12.783
MAC000002,02-12-2012,15.354
MAC000002,03-12-2012,10.167
MAC000002,04-12-2012,11.143
MAC000002,05-12-2012,11.714
MAC000002,06-12-2012,11.85
MAC000002,07-12-2012,13.248
MAC000002,08-12-2012,13.442
MAC000002,09-12-2012,11.355
MAC000002,10-12-2012,10.123
MAC000002,11-12-2012,12.859
MAC000002,12-12-2012,11.971
MAC000002,13-12-2012,10.922
MAC000002,14-12-2012,10.584
MAC000002,15-12-2012,14.257
MAC000002,16-12-2012,16.497
MAC000002,17-12-2012,12.202
MAC000002,18-12-2012,10.255
MAC000002,19-12-2012,12.265
MAC000002,20-12-2012,11.122
MAC000002,21-12-2012,11.95
MAC000002,22-12-2012,17.932
MAC000002,23-12-2012,7.977
MAC000002,24-12-2012,4.983
MAC000002,25-12-2012,4.909
MAC000002,26-12-2012,7.65
MAC000002,27-12-2012,13.146
MAC000002,28-12-2012,11.157
MAC000002,29-12-2012,10.8
MAC000002,30-12-2012,11.112
MAC000002,31-12-2012,10.033
MAC000002,01-01-2013,10.8
MAC000002,02-01-2013,13.3
MAC000002,03-01-2013,10.074
MAC000002,04-01-2013,9.857
MAC000002,05-01-2013,11.171
MAC000002,06-01-2013,10.293
MAC000002,07-01-2013,9.439
MAC000002,08-01-2013,11.64
MAC000002,09-01-2013,15.259
MAC000002,10-01-2013,10.74
MAC000002,11-01-2013,10.979
MAC000002,12-01-2013,10.586
MAC000002,13-01-2013,10.36
MAC000002,14-01-2013,12.273
MAC000002,15-01-2013,9.83
MAC000002,16-01-2013,14.408
MAC000002,17-01-2013,9.857
MAC000002,18-01-2013,16.922
MAC000002,19-01-2013,15.742
MAC000002,20-01-2013,11.53
MAC000002,21-01-2013,12.666
MAC000002,22-01-2013,10.87
MAC000002,23-01-2013,10.99
MAC000002,24-01-2013,12.124
MAC000002,25-01-2013,11.26
MAC000002,26-01-2013,16.348
MAC000002,27-01-2013,11.466
MAC000002,28-01-2013,9.907
MAC000002,29-01-2013,9.886
MAC000002,30-01-2013,10.297
MAC000002,31-01-2013,9.208
MAC000002,01-02-2013,9.953
MAC000002,02-02-2013,15.097
MAC000002,03-02-2013,11.29
MAC000002,04-02-2013,8.798
MAC000002,05-02-2013,14.146
MAC000002,06-02-2013,14.222
MAC000002,07-02-2013,11.684
MAC000002,08-02-2013,9.635
MAC000002,09-02-2013,14.746
MAC000002,10-02-2013,15.871
MAC000002,11-02-2013,11.514
MAC000002,12-02-2013,10.958
MAC000002,13-02-2013,11.151
MAC000002,14-02-2013,10.042
MAC000002,15-02-2013,11.33
MAC000002,16-02-2013,10.807
MAC000002,17-02-2013,9.221
MAC000002,18-02-2013,9.563
MAC000002,19-02-2013,11.293
MAC000002,20-02-2013,10.941
MAC000002,21-02-2013,20.912
MAC000002,22-02-2013,24.018
MAC000002,23-02-2013,14.125
MAC000002,24-02-2013,19.751
MAC000002,25-02-2013,11.198
MAC000002,26-02-2013,11.175
MAC000002,27-02-2013,15.769
MAC000002,28-02-2013,32.628
MAC000002,01-03-2013,39.284
MAC000002,02-03-2013,26.292
MAC000002,03-03-2013,23.58
MAC000002,04-03-2013,25.447
MAC000002,05-03-2013,32.856
MAC000002,06-03-2013,16.637
MAC000002,07-03-2013,27.718
MAC000002,08-03-2013,18.876
MAC000002,09-03-2013,10.858
MAC000002,10-03-2013,19.191
MAC000002,11-03-2013,13.658
MAC000002,12-03-2013,16.135
MAC000002,13-03-2013,12.956
MAC000002,14-03-2013,12.286
MAC000002,15-03-2013,13.165
MAC000002,16-03-2013,12.652
MAC000002,17-03-2013,17.383
MAC000002,18-03-2013,13.295
MAC000002,19-03-2013,12.519
MAC000002,20-03-2013,14.014
MAC000002,21-03-2013,10.727
MAC000002,22-03-2013,13.524
MAC000002,23-03-2013,25.599
MAC000002,24-03-2013,16.021
MAC000002,25-03-2013,5.781
MAC000002,26-03-2013,4.985
MAC000002,27-03-2013,5.097
MAC000002,28-03-2013,4.929
MAC000002,29-03-2013,4.841
MAC000002,30-03-2013,4.931
MAC000002,31-03-2013,4.933
